Ee-scaffold615.g1	scaffold615.g1.t1
Ee-scaffold376.g37	scaffold376.g37.t1
Ee-scaffold376.g37	scaffold376.g37.t2
Ee-scaffold376.g38	scaffold376.g38.t1
Ee-scaffold434.g1	scaffold434.g1.t1
Ee-scaffold434.g2	scaffold434.g2.t1
Ee-scaffold434.g3	scaffold434.g3.t1
Ee-scaffold434.g4	scaffold434.g4.t1
Ee-scaffold434.g5	scaffold434.g5.t1
Ee-scaffold434.g5	scaffold434.g5.t2
Ee-scaffold434.g6	scaffold434.g6.t1
Ee-scaffold434.g7	scaffold434.g7.t1
Ee-scaffold434.g8	scaffold434.g8.t1
Ee-scaffold434.g9	scaffold434.g9.t1
Ee-scaffold434.g9	scaffold434.g9.t2
Ee-scaffold434.g10	scaffold434.g10.t1
Ee-scaffold434.g10	scaffold434.g10.t2
Ee-scaffold434.g10	scaffold434.g10.t3
Ee-scaffold434.g10	scaffold434.g10.t4
Ee-scaffold434.g10	scaffold434.g10.t5
Ee-scaffold434.g10	scaffold434.g10.t6
Ee-scaffold434.g11	scaffold434.g11.t1
Ee-scaffold434.g12	scaffold434.g12.t1
Ee-scaffold434.g13	scaffold434.g13.t1
Ee-scaffold434.g13	scaffold434.g13.t2
Ee-scaffold434.g14	scaffold434.g14.t1
Ee-scaffold434.g14	scaffold434.g14.t2
Ee-scaffold434.g15	scaffold434.g15.t1
Ee-scaffold434.g16	scaffold434.g16.t1
Ee-scaffold434.g17	scaffold434.g17.t1
Ee-scaffold434.g18	scaffold434.g18.t1
Ee-scaffold434.g19	scaffold434.g19.t1
Ee-scaffold434.g20	scaffold434.g20.t1
Ee-scaffold434.g21	scaffold434.g21.t1
Ee-scaffold434.g21	scaffold434.g21.t2
Ee-scaffold434.g21	scaffold434.g21.t3
Ee-scaffold434.g21	scaffold434.g21.t4
Ee-scaffold434.g22	scaffold434.g22.t1
Ee-scaffold434.g22	scaffold434.g22.t2
Ee-scaffold434.g23	scaffold434.g23.t1
Ee-scaffold434.g24	scaffold434.g24.t1
Ee-scaffold434.g24	scaffold434.g24.t2
Ee-scaffold434.g25	scaffold434.g25.t1
Ee-scaffold434.g25	scaffold434.g25.t2
Ee-scaffold434.g25	scaffold434.g25.t3
Ee-scaffold434.g26	scaffold434.g26.t1
Ee-scaffold434.g27	scaffold434.g27.t1
Ee-scaffold434.g28	scaffold434.g28.t1
Ee-scaffold434.g29	scaffold434.g29.t1
Ee-scaffold434.g30	scaffold434.g30.t1
Ee-scaffold434.g30	scaffold434.g30.t2
Ee-scaffold434.g31	scaffold434.g31.t1
Ee-scaffold2360.g1	scaffold2360.g1.t1
Ee-scaffold2360.g2	scaffold2360.g2.t1
Ee-scaffold2360.g3	scaffold2360.g3.t1
Ee-scaffold2360.g4	scaffold2360.g4.t1
Ee-scaffold2360.g5	scaffold2360.g5.t1
Ee-scaffold2360.g5	scaffold2360.g5.t2
Ee-scaffold2360.g5	scaffold2360.g5.t3
Ee-scaffold2360.g6	scaffold2360.g6.t1
Ee-scaffold2360.g7	scaffold2360.g7.t1
Ee-scaffold2360.g8	scaffold2360.g8.t1
Ee-scaffold2360.g9	scaffold2360.g9.t1
Ee-scaffold2360.g9	scaffold2360.g9.t2
Ee-scaffold2360.g9	scaffold2360.g9.t3
Ee-scaffold2360.g10	scaffold2360.g10.t1
Ee-scaffold2360.g11	scaffold2360.g11.t1
Ee-scaffold2360.g12	scaffold2360.g12.t1
Ee-scaffold2360.g13	scaffold2360.g13.t1
Ee-scaffold2360.g14	scaffold2360.g14.t1
Ee-scaffold2360.g15	scaffold2360.g15.t1
Ee-scaffold2360.g16	scaffold2360.g16.t1
Ee-scaffold2360.g17	scaffold2360.g17.t1
Ee-scaffold2360.g18	scaffold2360.g18.t1
Ee-scaffold2360.g19	scaffold2360.g19.t1
Ee-scaffold2360.g20	scaffold2360.g20.t1
Ee-scaffold2360.g21	scaffold2360.g21.t1
Ee-scaffold2360.g21	scaffold2360.g21.t2
Ee-scaffold2360.g22	scaffold2360.g22.t1
Ee-scaffold2360.g23	scaffold2360.g23.t1
Ee-scaffold2360.g24	scaffold2360.g24.t1
Ee-scaffold2360.g25	scaffold2360.g25.t1
Ee-scaffold2360.g26	scaffold2360.g26.t1
Ee-scaffold2360.g27	scaffold2360.g27.t1
Ee-scaffold2360.g28	scaffold2360.g28.t1
Ee-scaffold2360.g29	scaffold2360.g29.t1
Ee-scaffold2360.g30	scaffold2360.g30.t1
Ee-scaffold2360.g31	scaffold2360.g31.t1
Ee-scaffold2360.g31	scaffold2360.g31.t2
Ee-scaffold2360.g32	scaffold2360.g32.t1
Ee-scaffold2360.g33	scaffold2360.g33.t1
Ee-scaffold2360.g33	scaffold2360.g33.t2
Ee-scaffold2360.g34	scaffold2360.g34.t1
Ee-scaffold2421.g1	scaffold2421.g1.t1
Ee-scaffold2421.g2	scaffold2421.g2.t1
Ee-scaffold2421.g3	scaffold2421.g3.t1
Ee-scaffold2421.g3	scaffold2421.g3.t2
Ee-scaffold2421.g4	scaffold2421.g4.t1
Ee-scaffold2421.g5	scaffold2421.g5.t1
Ee-scaffold2421.g6	scaffold2421.g6.t1
Ee-scaffold2421.g7	scaffold2421.g7.t1
Ee-scaffold2421.g8	scaffold2421.g8.t1
Ee-scaffold2421.g9	scaffold2421.g9.t1
Ee-scaffold2421.g10	scaffold2421.g10.t1
Ee-scaffold2421.g10	scaffold2421.g10.t2
Ee-scaffold2421.g11	scaffold2421.g11.t1
Ee-scaffold2421.g12	scaffold2421.g12.t1
Ee-scaffold2421.g12	scaffold2421.g12.t2
Ee-scaffold2421.g13	scaffold2421.g13.t1
Ee-scaffold2421.g14	scaffold2421.g14.t1
Ee-scaffold2421.g15	scaffold2421.g15.t1
Ee-scaffold2421.g16	scaffold2421.g16.t1
Ee-scaffold2421.g17	scaffold2421.g17.t1
Ee-scaffold2421.g17	scaffold2421.g17.t2
Ee-scaffold2421.g18	scaffold2421.g18.t1
Ee-scaffold2421.g19	scaffold2421.g19.t1
Ee-scaffold2421.g19	scaffold2421.g19.t2
Ee-scaffold2421.g19	scaffold2421.g19.t3
Ee-scaffold2421.g20	scaffold2421.g20.t1
Ee-scaffold2421.g20	scaffold2421.g20.t2
Ee-scaffold2421.g20	scaffold2421.g20.t3
Ee-scaffold2421.g20	scaffold2421.g20.t4
Ee-scaffold2421.g20	scaffold2421.g20.t5
Ee-scaffold2421.g21	scaffold2421.g21.t1
Ee-scaffold836.g1	scaffold836.g1.t1
Ee-scaffold836.g2	scaffold836.g2.t1
Ee-scaffold836.g3	scaffold836.g3.t1
Ee-scaffold836.g3	scaffold836.g3.t2
Ee-scaffold836.g4	scaffold836.g4.t1
Ee-scaffold836.g5	scaffold836.g5.t1
Ee-scaffold836.g5	scaffold836.g5.t2
Ee-scaffold836.g6	scaffold836.g6.t1
Ee-scaffold836.g6	scaffold836.g6.t2
Ee-scaffold836.g7	scaffold836.g7.t1
Ee-scaffold836.g7	scaffold836.g7.t2
Ee-scaffold836.g8	scaffold836.g8.t1
Ee-scaffold836.g9	scaffold836.g9.t1
Ee-scaffold836.g10	scaffold836.g10.t1
Ee-scaffold836.g11	scaffold836.g11.t1
Ee-scaffold836.g12	scaffold836.g12.t1
Ee-scaffold836.g13	scaffold836.g13.t1
Ee-scaffold836.g14	scaffold836.g14.t1
Ee-scaffold836.g15	scaffold836.g15.t1
Ee-scaffold836.g16	scaffold836.g16.t1
Ee-scaffold836.g17	scaffold836.g17.t1
Ee-scaffold836.g18	scaffold836.g18.t1
Ee-scaffold836.g18	scaffold836.g18.t2
Ee-scaffold836.g19	scaffold836.g19.t1
Ee-scaffold618.g1	scaffold618.g1.t1
Ee-scaffold618.g1	scaffold618.g1.t2
Ee-scaffold618.g2	scaffold618.g2.t1
Ee-scaffold618.g3	scaffold618.g3.t1
Ee-scaffold618.g3	scaffold618.g3.t2
Ee-scaffold618.g4	scaffold618.g4.t1
Ee-scaffold618.g5	scaffold618.g5.t1
Ee-scaffold618.g6	scaffold618.g6.t1
Ee-scaffold618.g6	scaffold618.g6.t2
Ee-scaffold618.g7	scaffold618.g7.t1
Ee-scaffold618.g7	scaffold618.g7.t2
Ee-scaffold618.g8	scaffold618.g8.t1
Ee-scaffold618.g8	scaffold618.g8.t2
Ee-scaffold618.g9	scaffold618.g9.t1
Ee-scaffold618.g10	scaffold618.g10.t1
Ee-scaffold618.g10	scaffold618.g10.t2
Ee-scaffold618.g11	scaffold618.g11.t1
Ee-scaffold618.g12	scaffold618.g12.t1
Ee-scaffold618.g12	scaffold618.g12.t2
Ee-scaffold618.g12	scaffold618.g12.t3
Ee-scaffold618.g13	scaffold618.g13.t1
Ee-scaffold618.g14	scaffold618.g14.t1
Ee-scaffold618.g15	scaffold618.g15.t1
Ee-scaffold618.g16	scaffold618.g16.t1
Ee-scaffold618.g17	scaffold618.g17.t1
Ee-scaffold618.g17	scaffold618.g17.t2
Ee-scaffold618.g17	scaffold618.g17.t3
Ee-scaffold618.g18	scaffold618.g18.t1
Ee-scaffold618.g19	scaffold618.g19.t1
Ee-scaffold618.g20	scaffold618.g20.t1
Ee-scaffold618.g20	scaffold618.g20.t2
Ee-scaffold618.g21	scaffold618.g21.t1
Ee-scaffold618.g21	scaffold618.g21.t2
Ee-scaffold618.g21	scaffold618.g21.t3
Ee-scaffold618.g22	scaffold618.g22.t1
Ee-scaffold618.g22	scaffold618.g22.t2
Ee-scaffold618.g22	scaffold618.g22.t3
Ee-scaffold618.g23	scaffold618.g23.t1
Ee-scaffold618.g23	scaffold618.g23.t2
Ee-scaffold618.g24	scaffold618.g24.t1
Ee-scaffold618.g25	scaffold618.g25.t1
Ee-scaffold618.g25	scaffold618.g25.t2
Ee-scaffold618.g26	scaffold618.g26.t1
Ee-scaffold4055.g1	scaffold4055.g1.t1
Ee-scaffold4055.g2	scaffold4055.g2.t1
Ee-scaffold4055.g3	scaffold4055.g3.t1
Ee-scaffold4055.g4	scaffold4055.g4.t1
Ee-scaffold4055.g5	scaffold4055.g5.t1
Ee-scaffold4055.g6	scaffold4055.g6.t1
Ee-scaffold4055.g6	scaffold4055.g6.t2
Ee-scaffold4055.g7	scaffold4055.g7.t1
Ee-scaffold4055.g8	scaffold4055.g8.t1
Ee-scaffold4055.g9	scaffold4055.g9.t1
Ee-scaffold4055.g10	scaffold4055.g10.t1
Ee-scaffold4055.g11	scaffold4055.g11.t1
Ee-scaffold4055.g12	scaffold4055.g12.t1
Ee-scaffold4055.g13	scaffold4055.g13.t1
Ee-scaffold4055.g14	scaffold4055.g14.t1
Ee-scaffold4055.g14	scaffold4055.g14.t2
Ee-scaffold4055.g15	scaffold4055.g15.t1
Ee-scaffold4055.g16	scaffold4055.g16.t1
Ee-scaffold4055.g17	scaffold4055.g17.t1
Ee-scaffold4055.g17	scaffold4055.g17.t2
Ee-scaffold4055.g18	scaffold4055.g18.t1
Ee-scaffold4055.g19	scaffold4055.g19.t1
Ee-scaffold4055.g20	scaffold4055.g20.t1
Ee-scaffold4055.g21	scaffold4055.g21.t1
Ee-scaffold4055.g22	scaffold4055.g22.t1
Ee-scaffold4055.g23	scaffold4055.g23.t1
Ee-scaffold4055.g24	scaffold4055.g24.t1
Ee-scaffold4055.g25	scaffold4055.g25.t1
Ee-scaffold4055.g25	scaffold4055.g25.t2
Ee-scaffold4055.g25	scaffold4055.g25.t3
Ee-scaffold4055.g26	scaffold4055.g26.t1
Ee-scaffold4055.g27	scaffold4055.g27.t1
Ee-scaffold4055.g28	scaffold4055.g28.t1
Ee-scaffold4055.g29	scaffold4055.g29.t1
Ee-scaffold4055.g30	scaffold4055.g30.t1
Ee-scaffold4055.g31	scaffold4055.g31.t1
Ee-scaffold4024.g1	scaffold4024.g1.t1
Ee-scaffold4024.g2	scaffold4024.g2.t1
Ee-scaffold4024.g2	scaffold4024.g2.t2
Ee-scaffold4024.g3	scaffold4024.g3.t1
Ee-scaffold4024.g4	scaffold4024.g4.t1
Ee-scaffold4024.g5	scaffold4024.g5.t1
Ee-scaffold4024.g5	scaffold4024.g5.t2
Ee-scaffold4024.g6	scaffold4024.g6.t1
Ee-scaffold4024.g6	scaffold4024.g6.t2
Ee-scaffold4024.g7	scaffold4024.g7.t1
Ee-scaffold4024.g7	scaffold4024.g7.t2
Ee-scaffold4024.g7	scaffold4024.g7.t3
Ee-scaffold4024.g8	scaffold4024.g8.t1
Ee-scaffold4024.g9	scaffold4024.g9.t1
Ee-scaffold4024.g9	scaffold4024.g9.t2
Ee-scaffold4024.g10	scaffold4024.g10.t1
Ee-scaffold4024.g10	scaffold4024.g10.t2
Ee-scaffold4024.g11	scaffold4024.g11.t1
Ee-scaffold4024.g12	scaffold4024.g12.t1
Ee-scaffold4024.g13	scaffold4024.g13.t1
Ee-scaffold4024.g14	scaffold4024.g14.t1
Ee-scaffold4024.g15	scaffold4024.g15.t1
Ee-scaffold4024.g16	scaffold4024.g16.t1
Ee-scaffold4024.g17	scaffold4024.g17.t1
Ee-scaffold4024.g18	scaffold4024.g18.t1
Ee-scaffold4024.g19	scaffold4024.g19.t1
Ee-scaffold4024.g20	scaffold4024.g20.t1
Ee-scaffold4024.g21	scaffold4024.g21.t1
Ee-scaffold4024.g22	scaffold4024.g22.t1
Ee-scaffold4024.g22	scaffold4024.g22.t2
Ee-scaffold1899.g1	scaffold1899.g1.t1
Ee-scaffold1899.g1	scaffold1899.g1.t2
Ee-scaffold1899.g2	scaffold1899.g2.t1
Ee-scaffold1899.g3	scaffold1899.g3.t1
Ee-scaffold1899.g3	scaffold1899.g3.t2
Ee-scaffold1899.g3	scaffold1899.g3.t3
Ee-scaffold1899.g4	scaffold1899.g4.t1
Ee-scaffold1899.g4	scaffold1899.g4.t2
Ee-scaffold1899.g5	scaffold1899.g5.t1
Ee-scaffold1899.g5	scaffold1899.g5.t2
Ee-scaffold1899.g6	scaffold1899.g6.t1
Ee-scaffold1899.g6	scaffold1899.g6.t2
Ee-scaffold1899.g7	scaffold1899.g7.t1
Ee-scaffold1899.g8	scaffold1899.g8.t1
Ee-scaffold1899.g9	scaffold1899.g9.t1
Ee-scaffold1899.g10	scaffold1899.g10.t1
Ee-scaffold1899.g10	scaffold1899.g10.t2
Ee-scaffold1899.g11	scaffold1899.g11.t1
Ee-scaffold1899.g12	scaffold1899.g12.t1
Ee-scaffold1899.g12	scaffold1899.g12.t2
Ee-scaffold1899.g13	scaffold1899.g13.t1
Ee-scaffold1899.g13	scaffold1899.g13.t2
Ee-scaffold1899.g13	scaffold1899.g13.t3
Ee-scaffold1899.g13	scaffold1899.g13.t4
Ee-scaffold1899.g14	scaffold1899.g14.t1
Ee-scaffold1899.g15	scaffold1899.g15.t1
Ee-scaffold1899.g15	scaffold1899.g15.t2
Ee-scaffold1899.g15	scaffold1899.g15.t3
Ee-scaffold1899.g16	scaffold1899.g16.t1
Ee-scaffold1899.g16	scaffold1899.g16.t2
Ee-scaffold1899.g17	scaffold1899.g17.t1
Ee-scaffold1899.g18	scaffold1899.g18.t1
Ee-scaffold1899.g18	scaffold1899.g18.t2
Ee-scaffold1899.g19	scaffold1899.g19.t1
Ee-scaffold1899.g20	scaffold1899.g20.t1
Ee-scaffold1899.g21	scaffold1899.g21.t1
Ee-scaffold1899.g22	scaffold1899.g22.t1
Ee-scaffold1899.g23	scaffold1899.g23.t1
Ee-scaffold1899.g23	scaffold1899.g23.t2
Ee-scaffold1899.g23	scaffold1899.g23.t3
Ee-scaffold1899.g23	scaffold1899.g23.t4
Ee-scaffold1899.g24	scaffold1899.g24.t1
Ee-scaffold1899.g25	scaffold1899.g25.t1
Ee-scaffold1899.g25	scaffold1899.g25.t2
Ee-scaffold1899.g25	scaffold1899.g25.t3
Ee-scaffold1899.g26	scaffold1899.g26.t1
Ee-scaffold1899.g26	scaffold1899.g26.t2
Ee-scaffold1899.g26	scaffold1899.g26.t3
Ee-scaffold1899.g27	scaffold1899.g27.t1
Ee-scaffold1899.g28	scaffold1899.g28.t1
Ee-scaffold1899.g28	scaffold1899.g28.t2
Ee-scaffold1899.g29	scaffold1899.g29.t1
Ee-scaffold1899.g29	scaffold1899.g29.t2
Ee-scaffold1899.g29	scaffold1899.g29.t3
Ee-scaffold1899.g29	scaffold1899.g29.t4
Ee-scaffold1899.g30	scaffold1899.g30.t1
Ee-scaffold1899.g31	scaffold1899.g31.t1
Ee-scaffold1899.g32	scaffold1899.g32.t1
Ee-scaffold1899.g33	scaffold1899.g33.t1
Ee-scaffold1899.g34	scaffold1899.g34.t1
Ee-scaffold1899.g34	scaffold1899.g34.t2
Ee-scaffold1899.g35	scaffold1899.g35.t1
Ee-scaffold1899.g36	scaffold1899.g36.t1
Ee-scaffold1899.g36	scaffold1899.g36.t2
Ee-scaffold1899.g36	scaffold1899.g36.t3
Ee-scaffold1899.g36	scaffold1899.g36.t4
Ee-scaffold1899.g37	scaffold1899.g37.t1
Ee-scaffold1899.g38	scaffold1899.g38.t1
Ee-scaffold1899.g38	scaffold1899.g38.t2
Ee-scaffold1899.g39	scaffold1899.g39.t1
Ee-scaffold1899.g39	scaffold1899.g39.t2
Ee-scaffold1899.g40	scaffold1899.g40.t1
Ee-scaffold1899.g40	scaffold1899.g40.t2
Ee-scaffold1899.g40	scaffold1899.g40.t3
Ee-scaffold1899.g40	scaffold1899.g40.t4
Ee-scaffold1899.g40	scaffold1899.g40.t5
Ee-scaffold1899.g40	scaffold1899.g40.t6
Ee-scaffold1899.g41	scaffold1899.g41.t1
Ee-scaffold1899.g41	scaffold1899.g41.t2
Ee-scaffold1899.g42	scaffold1899.g42.t1
Ee-scaffold1899.g43	scaffold1899.g43.t1
Ee-scaffold1899.g44	scaffold1899.g44.t1
Ee-scaffold1899.g45	scaffold1899.g45.t1
Ee-scaffold1899.g46	scaffold1899.g46.t1
Ee-scaffold1899.g47	scaffold1899.g47.t1
Ee-scaffold4284.g1	scaffold4284.g1.t1
Ee-scaffold4284.g1	scaffold4284.g1.t2
Ee-scaffold4284.g1	scaffold4284.g1.t3
Ee-scaffold4284.g1	scaffold4284.g1.t4
Ee-scaffold4284.g1	scaffold4284.g1.t5
Ee-scaffold4284.g2	scaffold4284.g2.t1
Ee-scaffold4284.g2	scaffold4284.g2.t2
Ee-scaffold4284.g3	scaffold4284.g3.t1
Ee-scaffold4284.g4	scaffold4284.g4.t1
Ee-scaffold4284.g4	scaffold4284.g4.t2
Ee-scaffold4284.g5	scaffold4284.g5.t1
Ee-scaffold4284.g6	scaffold4284.g6.t1
Ee-scaffold4284.g7	scaffold4284.g7.t1
Ee-scaffold4284.g8	scaffold4284.g8.t1
Ee-scaffold4284.g9	scaffold4284.g9.t1
Ee-scaffold4284.g10	scaffold4284.g10.t1
Ee-scaffold4284.g11	scaffold4284.g11.t1
Ee-scaffold4284.g12	scaffold4284.g12.t1
Ee-scaffold4284.g13	scaffold4284.g13.t1
Ee-scaffold4284.g14	scaffold4284.g14.t1
Ee-scaffold4284.g15	scaffold4284.g15.t1
Ee-scaffold4284.g16	scaffold4284.g16.t1
Ee-scaffold4284.g17	scaffold4284.g17.t1
Ee-scaffold4284.g17	scaffold4284.g17.t2
Ee-scaffold4284.g18	scaffold4284.g18.t1
Ee-scaffold4284.g19	scaffold4284.g19.t1
Ee-scaffold4284.g20	scaffold4284.g20.t1
Ee-scaffold4284.g21	scaffold4284.g21.t1
Ee-scaffold4284.g22	scaffold4284.g22.t1
Ee-scaffold4284.g23	scaffold4284.g23.t1
Ee-scaffold4284.g24	scaffold4284.g24.t1
Ee-scaffold4284.g25	scaffold4284.g25.t1
Ee-scaffold4284.g26	scaffold4284.g26.t1
Ee-scaffold4284.g26	scaffold4284.g26.t2
Ee-scaffold4284.g27	scaffold4284.g27.t1
Ee-scaffold4284.g28	scaffold4284.g28.t1
Ee-scaffold4284.g29	scaffold4284.g29.t1
Ee-scaffold4284.g30	scaffold4284.g30.t1
Ee-scaffold4284.g31	scaffold4284.g31.t1
Ee-scaffold4284.g31	scaffold4284.g31.t2
Ee-scaffold4284.g32	scaffold4284.g32.t1
Ee-scaffold4284.g33	scaffold4284.g33.t1
Ee-scaffold4284.g34	scaffold4284.g34.t1
Ee-scaffold4284.g35	scaffold4284.g35.t1
Ee-scaffold4284.g36	scaffold4284.g36.t1
Ee-scaffold4284.g36	scaffold4284.g36.t2
Ee-scaffold4284.g36	scaffold4284.g36.t3
Ee-scaffold4284.g36	scaffold4284.g36.t4
Ee-scaffold4284.g37	scaffold4284.g37.t1
Ee-scaffold4284.g37	scaffold4284.g37.t2
Ee-scaffold4284.g38	scaffold4284.g38.t1
Ee-scaffold4284.g38	scaffold4284.g38.t2
Ee-scaffold4284.g39	scaffold4284.g39.t1
Ee-scaffold4284.g40	scaffold4284.g40.t1
Ee-scaffold4284.g41	scaffold4284.g41.t1
Ee-scaffold4284.g42	scaffold4284.g42.t1
